hydrologic_group,area_pct,mean_organic_matter,mean_bare_frequency,mean_ndvi_trend,pct_flagged
0.103,0.003,5.947,0.0,-0.003,0.0
0.104,0.003,5.091,0.0,0.008,0.0
0.104,0.003,5.408,0.0,-0.025,0.0
0.104,0.003,4.156,0.0,-0.012,0.0
0.104,0.003,4.527,0.0,-0.001,0.0
0.105,0.003,4.641,0.0,0.001,0.0
0.105,0.003,5.953,0.0,-0.007,0.0
0.105,0.003,5.144,0.0,0.002,0.0
0.106,0.003,4.895,0.0,0.009,0.0
0.106,0.003,5.355,0.0,-0.014,0.0
0.106,0.003,4.648,0.0,-0.028,0.0
0.107,0.003,6.305,0.0,-0.001,0.0
0.107,0.003,6.014,0.0,0.003,0.0
0.107,0.003,4.343,0.0,-0.032,0.0
0.107,0.003,4.788,0.0,0.003,0.0
0.107,0.003,5.228,0.0,-0.019,0.0
0.107,0.003,5.447,0.0,0.004,0.0
0.108,0.003,6.281,0.0,-0.006,0.0
0.108,0.003,5.424,0.0,-0.006,0.0
0.109,0.003,2.795,0.0,-0.004,0.0
0.109,0.003,3.839,0.0,0.005,0.0
0.109,0.003,5.584,0.0,-0.013,0.0
0.109,0.003,5.422,0.0,0.027,0.0
0.109,0.003,5.139,0.0,-0.034,0.0
0.109,0.003,5.405,0.0,-0.007,0.0
0.109,0.003,4.341,0.0,-0.03,0.0
0.11,0.003,5.422,0.0,-0.002,0.0
0.11,0.003,4.447,0.0,-0.023,0.0
0.11,0.003,4.522,0.0,-0.043,0.0
0.111,0.003,5.258,0.0,-0.014,0.0
0.111,0.003,6.702,0.0,-0.006,0.0
0.111,0.003,4.447,0.0,-0.024,0.0
0.112,0.003,4.947,0.0,-0.004,0.0
0.112,0.003,4.534,0.0,-0.005,0.0
0.112,0.003,4.7,0.0,0.02,0.0
0.112,0.003,4.61,0.0,0.003,0.0
0.112,0.003,4.747,0.0,0.048,0.0
0.112,0.003,5.45,0.0,0.001,0.0
0.113,0.003,4.827,0.0,-0.028,0.0
0.113,0.003,4.768,0.0,0.01,0.0
0.113,0.003,5.764,0.0,-0.019,0.0
0.113,0.003,4.32,0.0,-0.021,0.0
0.113,0.003,4.809,0.0,-0.022,0.0
0.114,0.003,4.767,0.0,-0.018,0.0
0.114,0.003,4.918,0.0,-0.013,0.0
0.114,0.003,4.49,0.0,-0.026,0.0
0.115,0.003,4.799,0.0,-0.026,0.0
0.115,0.003,4.633,0.0,-0.015,0.0
0.115,0.003,6.099,0.0,-0.006,0.0
0.115,0.003,4.667,0.0,0.002,0.0
0.116,0.003,4.824,0.0,-0.018,0.0
0.116,0.003,3.557,0.0,-0.01,0.0
0.117,0.003,4.477,0.0,-0.009,0.0
0.117,0.003,5.017,0.0,-0.009,0.0
0.117,0.003,4.42,0.0,-0.008,0.0
0.117,0.003,4.961,0.0,-0.018,0.0
0.117,0.003,3.73,0.0,0.001,0.0
0.117,0.003,2.566,0.0,-0.01,0.0
0.118,0.003,4.736,0.0,-0.001,0.0
0.118,0.003,4.8,0.0,-0.015,0.0
0.118,0.003,4.993,0.0,-0.01,0.0
0.118,0.003,4.333,0.0,-0.018,0.0
0.119,0.003,4.927,0.0,-0.01,0.0
0.119,0.003,4.516,0.0,-0.018,0.0
0.119,0.003,5.119,0.0,-0.027,0.0
0.119,0.003,5.067,0.0,0.002,0.0
0.119,0.003,5.116,0.0,-0.014,0.0
0.119,0.003,5.042,0.0,0.001,0.0
0.119,0.003,3.974,0.0,-0.006,0.0
0.12,0.003,4.126,0.0,-0.018,0.0
0.12,0.003,4.593,0.0,0.002,0.0
0.12,0.003,4.49,0.0,0.015,0.0
0.12,0.003,4.831,0.0,0.001,0.0
0.12,0.003,4.194,0.0,-0.018,0.0
0.12,0.003,5.709,0.0,-0.006,0.0
0.12,0.003,4.405,0.0,-0.019,0.0
0.12,0.003,4.916,0.0,-0.027,0.0
0.121,0.003,6.278,0.0,0.005,0.0
0.121,0.003,4.96,0.0,-0.007,0.0
0.121,0.003,4.659,0.0,-0.015,0.0
0.122,0.003,5.162,0.0,-0.031,0.0
0.122,0.003,4.657,0.0,-0.015,0.0
0.122,0.003,5.112,0.0,0.003,0.0
0.122,0.003,4.725,0.0,-0.024,0.0
0.123,0.003,3.979,0.0,-0.015,0.0
0.123,0.003,6.025,0.0,-0.02,0.0
0.123,0.003,4.461,0.0,-0.027,0.0
0.123,0.003,5.021,0.0,-0.006,0.0
0.123,0.003,4.435,0.0,-0.03,0.0
0.123,0.003,2.823,0.0,0.002,0.0
0.124,0.003,5.067,0.0,-0.017,0.0
0.124,0.003,4.162,0.0,-0.001,0.0
0.124,0.003,3.005,0.0,0.007,0.0
0.124,0.003,5.229,0.0,0.004,0.0
0.124,0.003,5.077,0.0,-0.025,0.0
0.124,0.003,3.349,0.0,0.002,0.0
0.124,0.003,5.469,0.0,-0.013,0.0
0.125,0.003,4.216,0.0,-0.01,0.0
0.125,0.003,6.701,0.0,-0.003,0.0
0.125,0.003,5.997,0.0,-0.009,0.0
0.125,0.003,4.297,0.0,-0.017,0.0
0.126,0.003,3.818,0.0,-0.006,0.0
0.126,0.003,5.223,0.0,-0.008,0.0
0.126,0.003,4.944,0.0,-0.028,0.0
0.126,0.003,5.587,0.0,-0.002,0.0
0.126,0.003,2.484,0.0,-0.004,0.0
0.126,0.003,6.277,0.0,0.002,0.0
0.126,0.003,4.589,0.0,-0.024,0.0
0.126,0.003,6.537,0.0,0.003,0.0
0.127,0.003,4.949,0.0,-0.001,0.0
0.127,0.003,4.603,0.0,0.011,0.0
0.127,0.003,4.227,0.0,-0.01,0.0
0.127,0.003,5.254,0.0,-0.001,0.0
0.128,0.003,4.552,0.0,0.021,0.0
0.128,0.003,4.286,0.0,-0.008,0.0
0.128,0.003,3.529,0.0,-0.003,0.0
0.128,0.003,5.15,0.0,-0.028,0.0
0.128,0.003,4.266,0.0,-0.023,0.0
0.129,0.003,4.691,0.0,0.001,0.0
0.129,0.003,4.302,0.0,-0.008,0.0
0.129,0.003,4.875,0.0,0.018,0.0
0.129,0.003,4.147,0.0,-0.002,0.0
0.129,0.003,4.317,0.0,-0.013,0.0
0.129,0.003,4.52,0.0,-0.023,0.0
0.129,0.003,4.481,0.0,-0.024,0.0
0.13,0.003,4.982,0.0,0.0,0.0
0.13,0.003,4.592,0.0,-0.01,0.0
0.13,0.003,5.039,0.0,-0.022,0.0
0.13,0.003,5.761,0.0,-0.004,0.0
0.131,0.003,4.735,0.0,0.017,0.0
0.131,0.003,4.52,0.0,-0.014,0.0
0.131,0.003,4.536,0.0,-0.018,0.0
0.131,0.003,4.096,0.0,0.001,0.0
0.131,0.003,4.515,0.0,-0.015,0.0
0.131,0.003,5.795,0.0,0.005,0.0
0.131,0.003,5.795,0.0,0.003,0.0
0.131,0.003,5.246,0.0,0.009,0.0
0.132,0.003,4.946,0.0,-0.006,0.0
0.132,0.003,4.205,0.0,-0.027,0.0
0.132,0.003,5.02,0.0,-0.015,0.0
0.132,0.003,4.126,0.0,-0.011,0.0
0.132,0.003,4.405,0.0,-0.007,0.0
0.132,0.003,5.743,0.0,-0.006,0.0
0.132,0.003,5.204,0.0,0.002,0.0
0.132,0.003,6.856,0.0,-0.007,0.0
0.132,0.003,4.456,0.0,-0.016,0.0
0.132,0.003,4.897,0.0,-0.016,0.0
0.132,0.003,4.975,0.0,-0.006,0.0
0.133,0.003,5.062,0.0,0.016,0.0
0.133,0.003,4.452,0.0,-0.018,0.0
0.133,0.003,4.672,0.0,-0.007,0.0
0.133,0.003,4.936,0.0,0.006,0.0
0.133,0.003,6.251,0.0,-0.002,0.0
0.134,0.003,4.207,0.0,-0.017,0.0
0.134,0.003,4.693,0.0,-0.026,0.0
0.134,0.003,4.498,0.0,-0.01,0.0
0.134,0.003,4.708,0.0,-0.022,0.0
0.134,0.003,4.598,0.0,-0.036,0.0
0.134,0.003,4.84,0.0,0.004,0.0
0.135,0.003,4.571,0.0,0.023,0.0
0.135,0.003,4.893,0.0,-0.001,0.0
0.135,0.003,5.667,0.0,-0.007,0.0
0.135,0.003,4.278,0.0,-0.024,0.0
0.135,0.003,5.201,0.0,0.006,0.0
0.135,0.003,4.208,0.0,-0.012,0.0
0.135,0.003,2.752,0.0,0.014,0.0
0.135,0.003,4.687,0.0,-0.017,0.0
0.136,0.003,4.945,0.0,0.003,0.0
0.136,0.003,5.68,0.0,-0.013,0.0
0.136,0.003,4.842,0.0,-0.013,0.0
0.136,0.003,5.218,0.0,0.015,0.0
0.136,0.003,4.232,0.0,-0.025,0.0
0.136,0.003,4.433,0.0,-0.009,0.0
0.136,0.003,4.749,0.0,-0.029,0.0
0.137,0.003,4.7,0.0,-0.022,0.0
0.137,0.003,4.883,0.0,0.006,0.0
0.137,0.003,3.558,0.0,-0.001,0.0
0.137,0.003,3.727,0.0,0.022,0.0
0.137,0.003,5.315,0.0,0.003,0.0
0.137,0.003,4.648,0.0,-0.016,0.0
0.137,0.003,5.756,0.0,-0.007,0.0
0.137,0.003,5.772,0.0,-0.009,0.0
0.138,0.003,4.111,0.0,-0.025,0.0
0.138,0.003,6.181,0.0,-0.019,0.0
0.138,0.003,2.262,0.0,-0.001,0.0
0.138,0.003,4.818,0.0,-0.016,0.0
0.138,0.003,4.817,0.0,-0.012,0.0
0.138,0.003,4.831,0.0,-0.004,0.0
0.138,0.003,4.15,0.0,0.002,0.0
0.138,0.003,3.978,0.0,-0.007,0.0
0.138,0.003,4.335,0.0,-0.012,0.0
0.139,0.003,4.848,0.0,0.015,0.0
0.139,0.003,5.298,0.0,0.023,0.0
0.139,0.003,5.269,0.0,-0.025,0.0
0.139,0.003,4.385,0.0,-0.008,0.0
0.139,0.003,4.751,0.0,-0.01,0.0
0.139,0.003,4.905,0.0,-0.018,0.0
0.139,0.003,4.828,0.0,-0.021,0.0
0.14,0.003,5.309,0.0,-0.001,0.0
0.14,0.003,4.196,0.0,-0.003,0.0
0.14,0.003,4.893,0.0,-0.001,0.0
0.14,0.003,5.025,0.0,0.002,0.0
0.14,0.003,4.218,0.0,0.02,0.0
0.14,0.003,3.988,0.0,0.007,0.0
0.141,0.003,4.605,0.0,-0.002,0.0
0.141,0.003,4.321,0.0,0.011,0.0
0.141,0.003,4.69,0.0,-0.004,0.0
0.141,0.003,5.499,0.0,-0.012,0.0
0.141,0.003,4.705,0.0,-0.018,0.0
0.141,0.003,3.811,0.0,0.014,0.0
0.141,0.003,4.393,0.0,-0.027,0.0
0.141,0.003,4.285,0.0,-0.012,0.0
0.141,0.003,4.597,0.0,-0.008,0.0
0.141,0.003,4.412,0.0,-0.012,0.0
0.142,0.003,5.678,0.0,0.004,0.0
0.142,0.003,6.314,0.0,-0.018,0.0
0.142,0.003,4.774,0.0,0.009,0.0
0.142,0.003,5.165,0.0,0.014,0.0
0.142,0.003,5.964,0.0,-0.011,0.0
0.142,0.003,5.779,0.0,-0.004,0.0
0.142,0.003,4.768,0.0,-0.02,0.0
0.143,0.003,4.163,0.0,-0.021,0.0
0.143,0.003,4.616,0.0,-0.024,0.0
0.143,0.003,4.654,0.0,-0.04,0.0
0.143,0.003,6.431,0.0,0.01,0.0
0.143,0.003,4.441,0.0,-0.016,0.0
0.143,0.003,4.394,0.0,-0.018,0.0
0.144,0.003,4.437,0.0,-0.022,0.0
0.144,0.003,5.176,0.0,-0.035,0.0
0.144,0.003,5.638,0.0,-0.018,0.0
0.144,0.003,5.343,0.0,-0.02,0.0
0.144,0.003,5.561,0.0,-0.011,0.0
0.144,0.003,6.764,0.0,-0.0,0.0
0.144,0.003,3.596,0.0,-0.003,0.0
0.144,0.003,4.518,0.0,-0.015,0.0
0.145,0.003,5.568,0.0,0.05,0.0
0.145,0.003,4.778,0.0,0.024,0.0
0.145,0.003,5.131,0.0,-0.013,0.0
0.145,0.003,4.905,0.0,-0.02,0.0
0.145,0.003,5.334,0.0,-0.021,0.0
0.145,0.003,5.849,0.0,0.005,0.0
0.146,0.003,4.825,0.0,-0.008,0.0
0.146,0.003,6.321,0.0,-0.007,0.0
0.146,0.003,5.123,0.0,-0.011,0.0
0.146,0.003,4.818,0.0,-0.006,0.0
0.146,0.003,4.511,0.0,-0.012,0.0
0.146,0.003,4.68,0.0,-0.007,0.0
0.146,0.003,5.137,0.0,-0.002,0.0
0.146,0.003,4.271,0.0,-0.017,0.0
0.146,0.003,5.485,0.0,0.002,0.0
0.146,0.003,5.504,0.0,0.005,0.0
0.146,0.003,5.268,0.0,-0.009,0.0
0.147,0.003,4.622,0.0,-0.004,0.0
0.147,0.003,4.936,0.0,0.003,0.0
0.147,0.003,3.995,0.0,-0.017,0.0
0.147,0.003,4.419,0.0,-0.011,0.0
0.147,0.003,5.87,0.0,-0.004,0.0
0.147,0.003,6.25,0.0,0.005,0.0
0.147,0.003,5.636,0.0,-0.009,0.0
0.147,0.003,4.51,0.0,-0.014,0.0
0.147,0.003,6.896,0.0,0.007,0.0
0.147,0.003,4.791,0.0,0.011,0.0
0.148,0.003,4.436,0.0,-0.02,0.0
0.148,0.003,4.088,0.0,-0.003,0.0
0.148,0.003,5.278,0.0,-0.016,0.0
0.148,0.003,5.261,0.0,-0.026,0.0
0.148,0.003,5.542,0.0,-0.001,0.0
0.148,0.003,4.668,0.0,-0.026,0.0
0.148,0.003,5.244,0.0,-0.02,0.0
0.148,0.003,4.289,0.0,0.0,0.0
0.148,0.003,5.821,0.0,-0.008,0.0
0.148,0.003,5.517,0.0,-0.011,0.0
0.148,0.003,4.691,0.0,-0.011,0.0
0.148,0.003,4.813,0.0,-0.022,0.0
0.148,0.003,6.074,0.0,0.011,0.0
0.149,0.003,4.729,0.0,0.012,0.0
0.149,0.003,5.028,0.0,-0.011,0.0
0.149,0.003,4.691,0.0,-0.007,0.0
0.149,0.003,4.63,0.0,-0.024,0.0
0.149,0.003,4.06,0.0,-0.017,0.0
0.149,0.003,4.594,0.0,-0.022,0.0
0.149,0.003,5.125,0.0,-0.003,0.0
0.15,0.003,4.65,0.0,-0.028,0.0
0.15,0.003,6.583,0.0,0.012,0.0
0.15,0.003,4.873,0.0,-0.019,0.0
0.15,0.003,5.997,0.0,-0.008,0.0
0.15,0.003,4.331,0.0,-0.008,0.0
0.15,0.003,4.601,0.0,0.007,0.0
0.15,0.003,2.009,0.0,0.008,0.0
0.15,0.003,5.318,0.0,0.008,0.0
0.15,0.003,4.126,0.0,-0.02,0.0
0.151,0.003,4.961,0.0,0.011,0.0
0.151,0.003,5.263,0.0,0.008,0.0
0.151,0.003,4.964,0.0,-0.025,0.0
0.151,0.003,4.719,0.0,-0.0,0.0
0.151,0.003,4.688,0.0,-0.02,0.0
0.151,0.003,4.333,0.0,-0.014,0.0
0.151,0.003,6.224,0.0,-0.003,0.0
0.151,0.003,5.049,0.0,-0.027,0.0
0.151,0.003,5.074,0.0,0.024,0.0
0.152,0.003,5.658,0.0,0.008,0.0
0.152,0.003,4.66,0.0,-0.026,0.0
0.152,0.003,5.037,0.0,-0.022,0.0
0.152,0.003,5.137,0.0,-0.026,0.0
0.152,0.003,4.368,0.0,-0.02,0.0
0.152,0.003,6.011,0.0,-0.021,0.0
0.153,0.003,5.74,0.0,-0.01,0.0
0.153,0.003,4.576,0.0,-0.023,0.0
0.153,0.003,4.552,0.0,-0.028,0.0
0.153,0.003,5.536,0.0,-0.005,0.0
0.153,0.003,4.93,0.0,-0.014,0.0
0.154,0.003,6.113,0.0,0.008,0.0
0.154,0.003,4.432,0.0,-0.023,0.0
0.154,0.003,4.742,0.0,0.007,0.0
0.154,0.003,4.786,0.0,-0.008,0.0
0.154,0.003,5.366,0.0,0.005,0.0
0.154,0.003,5.696,0.0,0.007,0.0
0.154,0.003,5.038,0.0,-0.008,0.0
0.154,0.003,4.627,0.0,-0.024,0.0
0.154,0.003,5.236,0.0,0.054,0.0
0.154,0.003,5.223,0.0,-0.016,0.0
0.154,0.003,5.037,0.0,0.0,0.0
0.155,0.003,6.28,0.0,-0.009,0.0
0.155,0.003,4.716,0.0,-0.001,0.0
0.155,0.003,4.979,0.0,0.015,0.0
0.155,0.003,4.097,0.0,-0.013,0.0
0.155,0.003,5.192,0.0,-0.0,0.0
0.155,0.003,5.011,0.0,-0.002,0.0
0.155,0.003,5.119,0.0,0.003,0.0
0.155,0.003,4.794,0.0,0.005,0.0
0.155,0.003,3.875,0.0,-0.007,0.0
0.155,0.003,5.469,0.0,-0.012,0.0
0.155,0.003,4.705,0.0,-0.014,0.0
0.156,0.003,5.486,0.0,0.001,0.0
0.156,0.003,6.021,0.0,-0.02,0.0
0.156,0.003,5.112,0.0,-0.008,0.0
0.156,0.003,4.671,0.0,-0.02,0.0
0.156,0.003,4.843,0.0,-0.024,0.0
0.156,0.003,5.267,0.0,0.007,0.0
0.156,0.003,6.444,0.0,-0.001,0.0
0.156,0.003,5.202,0.0,0.0,0.0
0.156,0.003,4.568,0.0,0.002,0.0
0.156,0.003,6.24,0.0,0.002,0.0
0.156,0.003,4.765,0.0,-0.005,0.0
0.156,0.003,5.187,0.0,-0.016,0.0
0.157,0.003,3.867,0.0,-0.003,0.0
0.157,0.003,4.61,0.0,-0.026,0.0
0.157,0.003,5.218,0.0,-0.003,0.0
0.157,0.003,4.607,0.0,-0.018,0.0
0.157,0.003,5.195,0.0,0.003,0.0
0.157,0.003,4.789,0.0,-0.005,0.0
0.157,0.003,4.762,0.0,-0.009,0.0
0.157,0.003,4.484,0.0,-0.029,0.0
0.157,0.003,2.273,0.0,0.003,0.0
0.157,0.003,6.034,0.0,-0.001,0.0
0.157,0.003,5.573,0.0,-0.009,0.0
0.158,0.003,4.904,0.0,-0.031,0.0
0.158,0.003,4.747,0.0,-0.005,0.0
0.158,0.003,4.689,0.0,-0.019,0.0
0.158,0.003,4.988,0.0,0.004,0.0
0.158,0.003,4.399,0.0,-0.032,0.0
0.158,0.003,4.745,0.0,-0.028,0.0
0.158,0.003,6.531,0.0,0.007,0.0
0.158,0.003,5.682,0.0,-0.019,0.0
0.159,0.003,3.962,0.0,-0.006,0.0
0.159,0.003,5.624,0.0,-0.015,0.0
0.159,0.003,5.136,0.0,0.0,0.0
0.159,0.003,4.596,0.0,-0.035,0.0
0.159,0.003,5.514,0.0,-0.0,0.0
0.159,0.003,4.754,0.0,0.005,0.0
0.159,0.003,4.705,0.0,-0.016,0.0
0.159,0.003,5.259,0.0,-0.004,0.0
0.159,0.003,5.019,0.0,0.002,0.0
0.159,0.003,4.799,0.0,-0.017,0.0
0.159,0.003,4.917,0.0,-0.019,0.0
0.16,0.003,5.118,0.0,-0.025,0.0
0.16,0.003,6.907,0.0,-0.0,0.0
0.16,0.003,4.736,0.0,-0.011,0.0
0.16,0.003,4.748,0.0,0.003,0.0
0.16,0.003,5.283,0.0,-0.036,0.0
0.16,0.003,5.404,0.0,0.004,0.0
0.16,0.003,4.632,0.0,-0.019,0.0
0.16,0.003,3.538,0.0,-0.004,0.0
0.16,0.003,5.14,0.0,-0.001,0.0
0.161,0.003,4.945,0.0,-0.032,0.0
0.161,0.003,4.899,0.0,0.021,0.0
0.161,0.003,5.805,0.0,-0.002,0.0
0.161,0.003,3.918,0.0,-0.012,0.0
0.161,0.003,5.187,0.0,-0.004,0.0
0.161,0.003,4.353,0.0,-0.022,0.0
0.161,0.003,5.466,0.0,-0.006,0.0
0.161,0.003,5.174,0.0,-0.006,0.0
0.162,0.003,4.95,0.0,0.0,0.0
0.162,0.003,5.405,0.0,0.001,0.0
0.162,0.003,5.253,0.0,-0.005,0.0
0.162,0.003,4.668,0.0,-0.022,0.0
0.162,0.003,4.733,0.0,-0.022,0.0
0.162,0.003,5.62,0.0,-0.022,0.0
0.162,0.003,5.02,0.0,-0.024,0.0
0.162,0.003,4.945,0.0,-0.003,0.0
0.162,0.003,4.099,0.0,-0.014,0.0
0.162,0.003,6.004,0.0,-0.008,0.0
0.162,0.003,4.47,0.0,-0.018,0.0
0.162,0.003,4.585,0.0,-0.004,0.0
0.162,0.003,4.782,0.0,-0.007,0.0
0.162,0.003,5.503,0.0,0.007,0.0
0.162,0.003,5.597,0.0,-0.012,0.0
0.163,0.003,4.708,0.0,-0.027,0.0
0.163,0.003,2.296,0.0,0.001,0.0
0.163,0.003,4.674,0.0,0.007,0.0
0.163,0.003,4.638,0.0,-0.018,0.0
0.163,0.003,5.193,0.0,-0.01,0.0
0.163,0.003,5.7,0.0,-0.003,0.0
0.163,0.003,3.876,0.0,-0.016,0.0
0.163,0.003,5.483,0.0,0.0,0.0
0.164,0.003,4.927,0.0,-0.029,0.0
0.164,0.003,4.468,0.0,-0.016,0.0
0.164,0.003,5.057,0.0,-0.013,0.0
0.164,0.003,4.028,0.0,-0.021,0.0
0.164,0.003,5.017,0.0,0.019,0.0
0.164,0.003,5.374,0.0,-0.015,0.0
0.164,0.003,2.247,0.0,-0.001,0.0
0.164,0.003,4.589,0.0,-0.013,0.0
0.165,0.003,5.063,0.0,0.005,0.0
0.165,0.003,5.442,0.0,0.006,0.0
0.165,0.003,5.568,0.0,-0.014,0.0
0.165,0.003,4.38,0.0,0.004,0.0
0.165,0.003,4.557,0.0,-0.015,0.0
0.165,0.003,4.154,0.0,-0.002,0.0
0.165,0.003,4.341,0.0,-0.017,0.0
0.165,0.003,5.699,0.0,-0.006,0.0
0.165,0.003,5.921,0.0,-0.004,0.0
0.165,0.003,5.264,0.0,0.007,0.0
0.166,0.003,6.307,0.0,-0.007,0.0
0.166,0.003,5.065,0.0,-0.027,0.0
0.166,0.003,5.067,0.0,-0.014,0.0
0.166,0.003,4.834,0.0,-0.013,0.0
0.166,0.003,5.357,0.0,-0.022,0.0
0.166,0.003,4.445,0.0,0.018,0.0
0.166,0.003,4.93,0.0,-0.005,0.0
0.166,0.003,5.888,0.0,-0.016,0.0
0.166,0.003,5.707,0.0,0.002,0.0
0.166,0.003,5.148,0.0,-0.015,0.0
0.166,0.003,5.136,0.0,0.009,0.0
0.166,0.003,5.498,0.0,-0.001,0.0
0.167,0.003,2.194,0.0,-0.002,0.0
0.167,0.003,5.091,0.0,-0.015,0.0
0.167,0.003,4.612,0.0,-0.006,0.0
0.167,0.003,4.671,0.0,-0.018,0.0
0.167,0.003,4.497,0.0,-0.011,0.0
